Banding Code	Common Name	Scientific Name	Vermont Subspecies	eBird Subspecies	eBird Subspecies Sci. Name	Total Subsp.	Subsp. in VT	Wash. Co. Records	VT Records	VT Media Records	Richard Needs	Wash needs	Vermont Needs	Global Needs	Field Diagnostics	Notes	eBird Species Page	BotW Systematics
AMKE	American Kestrel	Falco sparverius				17 (7)	1	0	100+	3p	Audio, WA photo	Ssp.	Audio		Paulus description, the southern one to be distinguished: Small, with relatively large beak (and head in general); wing length of 15 males 165–180 mm (mean 171.3 mm) and 13 females 175–186 mm (mean 179 mm) reported by Friedmann (Friedmann 1950a). Adult males, especially in s. Florida, tend to have underparts sparsely marked, spots absent or confined to sides, leaving belly and breast immaculate, but highly variable, especially in north (JAS). Anterior extent of dorsal barring on juvenile male averages less than on nominate sparverius (about 60% of distance from rump to nape) but amount of barring also more variable than nominate sparverius			https://birdsoftheworld.org/bow/species/amekes/cur/systematics
MERL	Merlin	Falco columbarius	F. c. c. 	Merlin (Taiga)	F. c. c.	9 (5)	1	0	100	10p	Ssp.	Ssp.	Audio		Overall grayer than suckleyi, and paler on breast and belly. Adult male: cere and orbital skin medium yellow; faint dark malar mark; pale supercilium and cheeks; medium bluish gray upperparts; breast and belly streaked with brown, barred on the flanks; lightly streaked rufous-tawny leg feathers; tail black with 2-3 narrow bluish-gray bands; white or tawny underparts, moderately streaked with brown; moderately dark underwings, spotted white (about 50% of surface). Adult female: overall browner than male, e.g., medium brown crown and auriculars, back, wings; belly uniformly tawny or white with pronounced brown streaking; dark brown primaries typically with pale tawny spots; upper tail variously banded (2-3) or not, depending on individual; ventral tail 3-4 pale bands when tail is fanned. Juvenile: much like adult female but juvenile males separable by smaller size and grayish dorsal tail bands; juvenile females separable only in late summer/fall by lack of molt.			https://birdsoftheworld.org/bow/species/merlin/cur/systematics
GYRF	Gyrfalcon	Falco rusticolus	Monotypic	None														
PEFA	Peregrine Falcon	Falco peregrinus	F. p. anatum	Peregrine Falcon (North American)	F.p.a.	19 (15)	2	1	10	0	Ssp.	Media	Media		Bonaparte, 1838. Averages larger and darker, with broadest dark moustachial, adult has blackish head, broad dark moustachial and small white cheeks, and juvenile is dark brown above and is heavily streaked and blotched below.	Possible that tundra speices is here, too.		https://birdsoftheworld.org/bow/species/perfal/cur/systematics
CRCA	Crested Caracara	Caracara cheriway	Monotypic	None														
																		
	Tyrant Flycatchers: Pewees, Kingbirds, and Allies																	
OSFL	Olive-sided Flycatcher	Contopus cooperi	C.c.c.	None		2	1	Yes, audio, photo										
EAWP	Eastern Wood-Pewee	Contopus virens	Monotypic	None				Yes, audio, photo										
YBFL	Yellow-bellied Flycatcher	Empidonax flaviventris	Monotypic	None				Yes, audio, photo										
ACFL	Acadian Flycatcher	Empidonax virescens	Monotypic	None							Species	Media	Media					
ALFL	Alder Flycatcher	Empidonax alnorum	Monotypic	None				Yes, audio, photo										
WIFL	Willow Flycatcher	Empidonax traillii	E. t. t.	Willow Flycatcher (Eastern)	E. t. t.	4	1	0	2	0	Ssp., Media		Media		Darker, less greenish, and more brownish (back and crown) than campestris; greener above than brewsteri; much darker above than extimus and adastus; extensive overlap with campestris in wing morphology	Note that it is hard to tell this from Alder Fl. anyway.		https://birdsoftheworld.org/bow/species/wilfly/cur/systematics
LEFL	Least Flycatcher	Empidonax minimus	Monotypic	None														
EAPH	Eastern Phoebe	Sayornis phoebe	Monotypic	None														
GCFL	Great Crested Flycatcher	Myiarchus crinitus	Monotypic	None														
EAKI	Eastern Kingbird	Tyrannus tyrannus	Monotypic	None														
WEKI	Western Kingbird	Tyrannus verticalis	Monotypic	None		0		1	3	31p,1a						I have the only audio in Vermont		https://birdsoftheworld.org/bow/species/weskin/cur/systematics
																		
	Vireos																	
YTVI	Yellow-throated Vireo	Vireo flavifrons	Monotypic	None														
BHVI	Blue-headed Vireo	Vireo solitarius	V.s. solitarius	None	V.s.s	2	1								V.s.alticola darker.			https://birdsoftheworld.org/bow/species/buhvir/cur/systematics
PHVI	Philadelphia Vireo	Vireo philadelphicus	Monotypic															
WAVI	Warbling Vireo	Vireo gilvus	V.g.g.	Warbling Vireo (Eastern)	Vireo gilvus gilvus	5 (2)	1		100+	2p,1a	Ssp.				Bill averages wider and deeper (more swollen), upper mandible with more extensive pale area, body size larger, upperparts duller and grayer (including crown, which differs only slightly from back), completes Prebasic molt on breeding grounds	Time for Washington Co. needs?		https://birdsoftheworld.org/bow/species/warvir/cur/systematics
REVI	Red-eyed Vireo	Vireo olivaceus	Vireo olivaceus olivaceus	None		2	1								Probable duller in Oregonian subsp.		https://ebird.org/species/reevir1/	https://birdsoftheworld.org/bow/species/reevir1/cur/systematics
																		
	Shrikes																	
NSHR	Northern Shrike	Lanius borealis	L. b. borealis	Northern Shrike (American)	L. b. borealis	4	1		3	1p (VT)	Subspecies		Audio		Many. Consult Birds of the World. Location easily enough to know that it is American, initially.		https://ebird.org/species/norshr4	https://birdsoftheworld.org/bow/species/norshr4/cur/systematics
LOSH	Loggerhead Shrike	Lanius ludovicianus	L. l. migrans	None		11?	1, former						Species again			No longer breeding or present in Vermont.	https://ebird.org/species/logshr/	https://birdsoftheworld.org/bow/species/logshr/cur/systematics
																		
	Jays, Magpies, Crows and Ravens																	
BLJA	Blue Jay	Cyanocitta cristata	C.c. principalis	None		4	1								Dorsum deep blue, white markings on remiges and rectrices extensive			
AMCR	American Crow	Corvus brachyrhynchos	C. b. brachyrhynchos	None		4	1								Not safely identifiable in field.	iNat referes to subsp as 'Eastern Crow'	https://ebird.org/species/amecro	https://birdsoftheworld.org/bow/species/amecro/cur/systematics
CORA	Common Raven	Corvus corax	C.c. principalis	None		10	1								Not safely identifiable in field.			
																		
	Tits, Chickadees and Titmice																	
BCCH	Black-capped Chickadee	Poecile atricapillus	P.a. atricapillus	None		7	1											
BOCH	Boreal Chickadee	Poecile hudsonicus	P.a. litorallis	None		5?	1								Smaller,browner than hudsonicus.			
TUTI	Tufted Titmouse	Baeolophus bicolor	Monotypic	None														
																		
	Larks																	
HOLA	Horned Lark	Eremophila alpestris	E.a. alpestris	Horned Lark (Eastern dark Group	E.a. [alpestris Group]	25+	1		0	207p (global)	Subsp.		Subsp.	Audio	E.a. alpestris has a sepia brown dorsum, spectrum yellow, throat, and eyebrow stripe, and white belly.	Should be here in the summer, but so rarely seen. Should look for. Also, very clear to see the yellow throat - readily identifiable in the field.	https://ebird.org/species/horlar	https://birdsoftheworld.org/bow/species/horlar/cur/systematics
																		
	Martins and Swallows																	
NRWS	Northern Rough-winged Swallow	Stelgidopteryx serripennis	S. s. serripennis	Northern Rough-winged Swallow (Northern)	S. s. [s. G.]	6(2)	1	0	2	0	Ssp.	ssp.	Media		Lacking dull whitish spot above the anterior portion of the lores; dull to creamy white undertailc overts; pale grayish brown upperparts, breast, and flanks; shallow tail fork.			https://birdsoftheworld.org/bow/species/nrwswa/cur/systematics
PUMA	Purple Martin	Progne subis	Progne subis subis	Purple Martin (subis/arboricola)	P. s. s./a.	3(2)	1	0	0	0	Ssp.	Ssp.	Ssp.		I don't think this can be diagnosed in the field. I don't know why there are two groupings.	Email authors		https://birdsoftheworld.org/bow/species/purmar/cur/systematics
TRES	Tree Swallow	Tachycineta bicolor	Monotypic	None														
BANS	Bank Swallow	Riparia riparia	Riparia riparia riparia	None		4	1								Darker than other ssp. Difficult to diagnose in field.			https://birdsoftheworld.org/bow/species/banswa/cur/systematics
BARS	Barn Swallow	Hirundo rustica	Hirundo rustica erythrogaster	Barn Swallow (American)	H.r.e.	7 (6)	1	1 (Not identified adequately to ssp)	1000+	3p	Audio	Audio	Audio.		Salient feature is chestnut ventrum. Like Buff-bellied, the breast band is narrower and often broken, the tail is shorter, and the red throat patch is approximately twice as large in size.	Can be determined by audio, apparently.		https://birdsoftheworld.org/bow/species/barswa/cur/systematics
CLSW	Cliff Swallow	Petrochelidon pyrrhonota	P. p. pyrrhonota	Cliff Swallow (pyrrhonota Group)	P. p. [p. G.]	4(2)	1	0	2	0	Ssp.	Ssp.	Media		White or pale buff forehead is enough to distinguish from melanogaster subspecies. To distinguish from other subspecies in the group, throat and cheeks should be dark chestnut.	This is an interesting example of how to disambiguate. Do you disambiguate the grouping, or do you try to identify the subspecies?		https://birdsoftheworld.org/bow/species/cliswa/cur/systematics
																		
	Kinglets																	
GCKI	Golden-crowned Kinglet	Regulus satrapa	R. s. s.	None		6	1								White supercilium short, extending to middle of auriculars and black lateral crown stripes; dorsum grayish green; cheeks and sides of neck head buffy olive; ventrum grayish white; wing bars and secondary edges contrast strongly with base color; body size moderate (male wing chord < 56 mm), the bill short and "rather stubby"			https://birdsoftheworld.org/bow/species/gockin/cur/systematics
RCKI	Ruby-crowned Kinglet	Regulus calendula	R. c. c.	None		3	1								Paler, mainly.			
																		
	Nuthatches																	
RBNU	Red-breasted Nuthatch	Sitta canadensis	Monotypic	None														
WBNU	White-breasted Nuthatch	Sitta carolinensis				11 (3)	1	50	1000	37p, 8a	Confirmation				Bill stout, blunt; ventrum white; dorsum pale blue-gray. "yenk" sound.			https://birdsoftheworld.org/bow/species/whbnut/cur/systematics
																		
	Treecreepers																	
BRCR	Brown Creeper	Certhia americana	C. a. a. 	Brown Creeper (americana/nigrescens)	C. a. a./n.	13 (6)	1	0	0	3p	Audio	Ssp.	Ssp.		Ventrum white to pale peach; crissum orange-buff; dorsal streaks whitish and broad; crown streaks buff; rump tawny; and bill short. Webster (1986:196) reported this subspecies to be weakly dichromatic, some individuals being paler and browner and others being darker and blacker.	Zac isn't approving my records		https://birdsoftheworld.org/bow/species/brncre/cur/systematics
																		
	Gnatcatchers																	
BGGN	Blue-gray Gnatcatcher	Polioptila caerulea	P. c. c.	Blue-gray Gnatcatcher (caerulea)	P. c. c.	7 (3)	1	0	10	0	Ssp.	Ssp.	Media		dorsum clearer blue (more grayish blue than bluish gray) and outer rectrices less black basally.			https://birdsoftheworld.org/bow/species/buggna/cur/systematics
																		
	Wrens																	
HOWR	House Wren	Troglodytes aedon	T. a. aedon	House Wren (Northern)	T. a. [a. G.]	31 (5)	1	1	1000+	5p, 3a	Ssp.	Media			Dorsum unbarred and gray-brown washed with rufescent; eyering whitish but no superciliary stripe; ventrum whitish to buffy;	Almost impossible to go down to subspecies in the field, but you can disambiguate groupings, and certainly simply identify a subspecies without worrying about disambiguating it.		https://birdsoftheworld.org/bow/species/houwre/cur/systematics
WIWR	Winter Wren	Troglodytes hiemalis	Troglodytes hiemalis hiemalis	None		2	1									Note: Split into Pacific Wren fairly recently. Not sure how to identify T. h.h. from T. h. pullus		https://birdsoftheworld.org/bow/species/winwre3/cur/systematics
SEWE	Sedge Wren	Cistothorus platensis	Cistothorus platensis stellaris	Sedge Wren (Sedge)	C. p. s.	18 (9) (See Note)	1	0	4	0	Species	Species	Media		C. p. stellaris breeds and winters throughout range in North America. Differentiated from subspecies of Mexico and Central and South America by longer wing (averages 40–48 mm in stellaris versus 36–45 mm in other subspecies), blackish streaking on crown extending forward of eyes (versus absent or restricted to central crown in other groups), rump dusky and cinnamon with white streaking (versus primarily or entirely tawny in other subspecies; Pyle 1997c);	While there are 9 eBird groupings, there are three main subspecies groupings. So, the groupings don't always match up.		https://birdsoftheworld.org/bow/species/sedwre/cur/systematics#subsp
MAWR	Marsh Wren	Cistothorus palustris	C. p. dissaeptus	Marsh Wren (palustris Group)	C. p. [p. G.]	14 (5)	1	0	100+	0	Ssp.	Ssp.	Media		dissaeptus is dull brown and dark on crown and nape. As well, Eastern birds have a different song type; get a good recording.			https://birdsoftheworld.org/bow/species/marwre/cur/systematics
CARW	Carolina Wren	Thryothorus ludovicianus	T. l. ludovicianus	Carolina Wren (Northern)	T. l. [l. G.]	10 (3)	1	0	0	0	Ssp.	Ssp.	Ssp.		Dorsum bright rusty- or chestnut-brown; supercilium buff; upper surface of rectrices chestnut; ventrum buffy to tawny-buff; flanks typically unmarked; feet pale; body size averages larger.			https://birdsoftheworld.org/bow/species/carwre/cur/systematics
																		
	Starlings and Mynas																	
EUST	European Starling	Sturnus vulgaris	S. v. v.	None		11	1								We're not sure it was S.v.v. introduced.			https://birdsoftheworld.org/bow/species/eursta/cur/systematics
																		
	Catbirds, Mockingbirds and Thrashers																	
GRCA	Gray Catbird	Dumetella carolinensis	D. c. c.	None		2	1											
BRTH	Brown Thrasher	Toxostoma rufum	T. r. r.	None		2	1											
	Northern Mockingbird	Mimus polyglottos	M. p. p.	None		3	1								Chest buffy gray; inner web of rectrix 4 (third from outermost) mostly dusky; white at base of primaries restricted.			
																		
	Thrushes																	
EABL	Eastern Bluebird	Sialia sialis	S.s.s.	Eastern Bluebird (Eastern)	S.s. s./bermudensis	7(2)	1	1	100+	11p (mostly mine)	Audio	Audio	Audio		Ventrum dull and dark rufous to chestnut, the breast contrasting sharply with the white belly; male dorsum dark purplish blue; chestnut edging to mantle feathers lacking; body size averages small (male wing < 104 mm).			https://birdsoftheworld.org/bow/species/easblu/cur/systematics
VATH	Varied Thrush	Ixoreus naevius	Unknown in Vermont.	None		3										If you find one, take good photos. We don't know what species is here.		https://birdsoftheworld.org/bow/species/varthr/cur/systematics
VEER	Veery	Catharus fuscescens	C.f.f.	None		5	1											
GCTH	Gray-cheeked Thrush	Catharus minimus	C.m.m.	None		2	2											
BITH	Bicknell's Thrush	Catharus bicknelli	Monotypic															
SWTH	Swainson's Thrush	Catharus ustulatus	C.u. swainsoni, C.u. apallachiensis	Swainson's Thrush (Olive-backed)	C.u. [s. Group]	6 (2)	2	0	100+	3p	Ssp.	Ssp.	Audio		More olive than ustulatus or oedicus, with little contrast between back and uppertail coverts; more olive below. Wide, distinct, dense blackish streaks or spots on breast. C.u.a darker and more rufous.	Differentiating between C.u.s and C.u.a. probably impossible, but worth trying.		https://birdsoftheworld.org/bow/species/swathr/cur/systematics
HETH	Hermit Thrush	Catharus guttatus	C.g. faxoni/crymophilus	Hermit Thrush (faxoni/crymophilus)	C.g.f/c	12	2	2	100+	2p	Ssp.	Ssp.	Audio		mantle moderately dark brown with rufous wash, this wash redder clinally from west to east; flanks brown or grayish brown with deep tawny wash.			https://birdsoftheworld.org/bow/species/herthr/cur/systematics
WOTH	Wood Thrush	Hylocichla mustelina	Monotypic															
AMRO	American Robin	Turdus migratorius	T.m. migratorious, T.m. nigrideus	American Robin (nigrideus), American Robin (migratorious Group)	T.m.n., Turdus migratorius [migratorius Group]	7 (3)	2		0 nigrideus, 8 m.	0	Nigrideus		Nigrideus	T.m. nigrideus audio	Can't identify to subsp. within migratorius group in the field, but can differentiate from nigrideus: "Similar to T. m. migratorius but mantle blackish, breast deep rufous, and throat streaks thick and coalescent"	migratorious very common in other states: nigrideus identification rare everywhere.	https://ebird.org/species/amerob	https://birdsoftheworld.org/bow/species/amerob/cur/systematics
																		
	Waxwings																	
BOWA	Bohemian Waxwing	Bombycilla garrulus	B.g. pallidiceps	None		3	1								Slightly less brightly colored than nominate, but with more cinnamon on forehead and malar region.			https://birdsoftheworld.org/bow/species/bohwax/cur/systematics
CEDW	Cedar Waxwing	Bombycilla cedrorum	Monotypic															
																		
	Old World Sparrows																	
HOSP	House Sparrow	Passer domesticus	Passer domesticus domesticus	None		11	1								Not safely identifiable in field.	Only P. domesticus domesticus in the USA.	https://ebird.org/species/houspa	https://birdsoftheworld.org/bow/species/houspa/cur/systematics
																		
	Wagtails and Pipits																	
AMPI	American Pipit	Anthus rubescens	A. r. rubescens	Americna Pipit (rubescens group)	A. r. [rubescens Group]	4	1		1		Species		Media		ventral streaking moderate, typically extending across breast; ventrum pinkish buff; dorsum rather dark brown.			https://birdsoftheworld.org/bow/species/amepip/cur/systematics
																		
	Finches, Euphonies and Allies																	
EVGR	Evening Grosbeak	Coccothraustes vespertinus	C.v.v.	None, but there are Types based on audio.		5 types	1 C.v.v., 1 type (type 3)	0	7	8p, 5a	Types	Types			Audio recording only diagnostic for types. But for ssp, Bill short (culmen 15.3–20.5 mm), yellow on forehead of adult male  relatively broad (extending 7–11 mm from bill), upperparts of females  and young males with gray tinge.			https://birdsoftheworld.org/bow/species/evegro/cur/systematics
PIGR	Pine Grosbeak	Pinicola enucleator	P.e. leucura	Pine Grosbeak (Taiga)	Pine Grosbeak (Taiga) (Pinicola enucleator leucura)	9	1		0	19p (global), 0s	Subspecies		Subspecies	Subspec. Audio	Breast and flanks pink to pinkish-red with grayish mottling reduced or lacking. Other features probably not reliable.	Clinal, difficult to differentiate from other subspecies, but possible. Field diagnostics listed differentiate it from other NAm. subsp. 		
HOFI	House Finch	Haemorhous mexicanus	Haemorhous mexicanus frontalis	House Finch (Common)	 Haemorhous mexicanus [mexicanus Group]	11 (2)	1		1	0	See note				Unidentifiable in field from House Finch (Macgregor's).	Macgregor's House Finch is extinct, and has no observations on eBird. This splitting seems arbitrary. All eastern birds are H.m. frontalis, and this can't be differentiated from other subsp. bedsides macgregor's on eBird. Unable to identify the difference beteen Macgregori and frontalis in the field, anyway. 		https://birdsoftheworld.org/bow/species/houfin/cur/systematics
PUFI	Purple Finch	Haemorhous purpureus	H.p. purpureus	Purple Finch (Eastern)	H.p.p.	2	1		100+	8p	Ssp. audio		Audio		First primary shorter than its fourth, generally less yellow- to olive-green in its body markings, sides and flanks of male not strongly suffused with brownish, and red of male's rump bright red			https://birdsoftheworld.org/bow/species/purfin/cur/systematics
CORE	Common Redpoll	Acanthis flammea	A. f. flammea, A. f. rostrata	Common Redpoll (flammea), Common Redpoll (rostrata/islandica)	A.f.f, a.f.r/i	3	2	3 fl., 0 r/i	20+f, 1 r/i	18p, 0p (see note)	Both subspecies	Audio flm, media r/i	Audio, r/i photos		Rostrata: Substantially larger, darker, and more richly colored than A. f. flammea . Almost 10% larger and 50% heavier (Appendix 1); looks longer-tailed and broader-necked; bill noticeably thick, and with bulging, not straight, culmen (overall size and bill shape vaguely suggests House Finch [Haemorhous mexicanus] to North American observer; L. Bevier pers. comm.); face and nape darker and richer brown; crown patch is consequently slightly less conspicuous; upperparts streaking heavier and darker and feather edges richer and browner, giving less contrast between dark feather centers and slightly paler feather edges; black bib darker and more extensive; underparts ground color darker, and streaking heavier and more extensive on breast and flanks; undertail coverts heavily streaked. (See Cramp and Perrins 1994a, Beadle and Henshaw 1996 for further details.)	David Hoag has a flickr photo of r/i, which doesn't show up in media records		https://birdsoftheworld.org/bow/species/comred/cur/systematics
HORE	Hoary Redpoll	Acanthis hornemanni	A.h.h., A.h.exilipes	Hoary Redpoll (exilipes), Hoary Redpoll (hornemanni)	A.h.h., A.h.e.	2	2	0	1e,2h	0	Ssp.	Ssp.	Media	More hornemanni audio	Hornemanni: Larger and generally paler and brighter than low-arctic exilipes. Largest of all redpolls: about 10% larger than most exilipes, and slightly larger than A. f. rostrata. Compared to A. h. exilipes, adult male A. h. hornemanni sometimes appears longer-tailed and thicker-necked. Bill thicker and longer, but feathering at base of bill dense and size not always apparent; dense feathering probably contributes to steeper forehead; head and neck generally more massive and bird often “front-heavy.” Tibia heavily feathered but also on many A. h. exilipes . Adult male A. h. hornemanni whiter-faced, with brighter supercilium and sides of head; upperparts with very broad white feather edges and dark centers, often making feathers appear striped black and white; white area on rump larger; breast pale frosty or salmon pink; underparts whiter and less streaked; edges to wing- and tail feathers (including wing-bars) broader and paler. Adult female like male, but almost or completely lacking pink on face, breast, and rump, and face and breast in particular more buff, and flanks usually more streaked. First-year individuals similarly duller and more streaked. (See Czaplak 1995 for further details.)			https://birdsoftheworld.org/bow/species/hoared/cur/systematics
RECR	Red Crossbill	Loxia curvirostra	Type 1, 2, 3, 4,  and 10	Many types		25~	6	Type 10 only	1, 2, 3, 4, 10	No media for 2, no photos for 2, 3, 4	Ssp.	1, 2, 3, 4	Better media		Look at spectrograms.			https://birdsoftheworld.org/bow/species/redcro/cur/systematics
WWCR	White-winged Crossbill	Loxia leucoptera	L.l.l.	White-winged Crossbill (leucoptera)	L.l.l.	2	1	0	0	0	Ssp.	Ssp.	Ssp.	Good audio	Bill small and narrow (Appendix 1; see Measurements); mantle and lesser wing coverts extensively black; body size averages small.			https://birdsoftheworld.org/bow/species/whwcro/cur/systematics
PISI	Pine Siskin	Spinus pinus	S.p.p.	Pine Siskin (Northern)	S.p. pinus/macropterus	3	1	0	0	0	Ssp.	Ssp.	Ssp.		ventrum streaked heavily, tail moderately yellow, secondary bar broad, and superciliary line absent.			https://birdsoftheworld.org/bow/species/pinsis/cur/systematics
AMGO	American Goldfinch	Spinus tristis	S.t.t.	None		4	1								S.t.t. rich yellow, not pale or brown.	Still worth identifying in comments, I think.		https://birdsoftheworld.org/bow/species/amegfi/cur/systematics
																		
	Longspurs and Snow Buntings																	
LALO	Lapland Longspur	Calcarius lapponicus	C. l. subcalcaratus	None		5	1								Upperparts appear darker than in populations to the west (C. l. alascensis, below), with back heavily streaked with black or dusky, the dusky centers wider than the lighter grayish-brown edgings; greater secondary coverts and tertials grayish brown with slight rufescent tinge (49).			https://birdsoftheworld.org/bow/species/laplon/cur/systematics
SNBU	Snow Bunting	Plectrophenax nivalis	P. n. n. 	None		4	1								Dark areas of Alternate Plumage modestly saturated; white rump of breeding season plumage does not extend up lower back; mandibles black in summer.			https://birdsoftheworld.org/bow/species/snobun/cur/systematics
																		
	New World Sparrows																	
GRSP	Grasshopper Sparrow	Ammodramus savannarum	A. s. pratensis	None		12	1								rather small with a heavy bill and dark mantle color;			https://birdsoftheworld.org/bow/species/graspa/cur/systematics
CHSP	Chipping Sparrow	Spizella passerina	S. p. passerina	None		5	1								Probably clinal; not reasonable to differentiate in field.		https://ebird.org/species/chispa	https://birdsoftheworld.org/bow/species/chispa/cur/systematics
CCSP	Clay-colored Sparrow	Spizella pallida	Monotypic	None														
FISP	Field Sparrow	Spizella pusilla	Spizella pusilla pusilla	None		2	1								Best done in hand			https://birdsoftheworld.org/bow/species/fiespa/cur/systematics
ATSP	American Tree Sparrow	Spizelloides arborea	S. arborea arborea	None		2	1								Outer edge of rectrices pale gray or buff-gray.			
FOSP	Fox Sparrow	Passerella iliaca	P. i. iliaca	Fox Sparrow (Red)	Passerella iliaca iliaca/zaboria	18 (4)	1	50	1000	125p, 7a	Ssp. audio	Audio			Merrem, 1786. P. i. iliaca can be distinguished from all subspecies in schistacea group by different proportions in wing and tail lengths (wing longer than tail in iliaca, wing equal to or shorter than tail in schistacea group) and overall bright-ruddy plumage coloration. The much brighter hue of reddish markings, sharply contrasting red-and-gray dorsal streaking, and heavier and more stubby bill distinguish iliaca from all subspecies within unalaschcensis group. P. i. iliaca distinguished from altivagans by greater general size and brighter, more ruddy coloration, with more sharply defined dorsal streaking (Swarth 1920b).			https://birdsoftheworld.org/bow/species/foxspa/cur/systematics
DEJU	Dark-eyed Junco	Junco hyemalis	J. h. h. 	Dark-eyed Junco (Slate-colored)	Junco hyemalis hyemalis/carolinensis	15(7)	1 (1 instance of Oregon in Washington)		1000+	258p, 15a								
WCSP	White-crowned Sparrow	Zonotrichia leucophrys	Z. l. leucophrys, gambelii	White-crowned Sparrow (leucophrys), W-c S (Gambel's)		5	2		4 Gambel's, 100+ Leucophrys	14p Z.l.l.	Subspecies		Photos, audio		Gambels are similar to Z.l.l., but bill orange or pinkish orange, lores white (tan in immature).			https://birdsoftheworld.org/bow/species/whcspa/cur/systematics
WTSP	White-throated Sparrow	Zonotrichia albicollis	Monotypic	None														
VESP	Vesper Sparrow	Pooecetes gramineus	P. g. gramineus	None		4	1											
SAVS	Savannah Sparrow	Passerculus sandwichensis	P. s. savanna	Savannah Sparrow (Savannah)	P. s. [sandwichensis Group]	28	1		100+	3p	Subspecies		Audio		Dorsal streaks black; ventral streaks fuscous; yellow eye stripe (not in immature birds, which may be confused easily with P.s. princeps (Ipswich) - look for this!)	No Ipswich sparrows seen in Vermont, but may be here.		https://birdsoftheworld.org/bow/species/savspa/cur/systematics
SOSP	Song Sparrow	Melospiza melodia	M.m. melodia	Song Sparrow (melodia/atlantica)	Melospiza melodia melodia/atlantica	24 (9)	1	1	100	0	Audio	Audio	Audio		Characterized by white underparts with well-defined black streaking, reddish-brown dorsal streaking on brown background with buff-gray fringes to feathers, short bill, and long wings.			https://birdsoftheworld.org/bow/species/sonspa/cur/systematics
LISP	Lincoln's Sparrow	Melospiza lincolnii	M. l. l.	None		3	1	Needs species audio								Should be breeding in Cabot.		https://birdsoftheworld.org/bow/species/linspa/cur/systematics
SWSP	Swamp Sparrow	Melospiza georgiana	M. g. georgiana	None		3	1								Upperparts darker and browner, dorsal feather edges duller and less contrasting compared to M. g. ericrypta.			https://birdsoftheworld.org/bow/species/swaspa/cur/systematics
EATO	Eastern Towhee	Pipilo erythrophthalmus	P. e. erythrophthalmus	Eastern Towhee (Red-eyed)	P. e. e./canaster	4 (2)	1	0	100+	10p	Ssp.	Ssp.	Audio		Chewink call can be used to distinguish. Plumage dark, iris red, large white tail spots.			https://birdsoftheworld.org/bow/species/eastow/cur/systematics
																		
	Blackbirds																	
YBCH	Yellow-breasted Chat	Icteria virens	I. v. virens	Yellow-breasted Chat (virens)	I. v. v.	2	1	0	1	0	Species	Species	Media		Upperparts olive-green; malar-feathers yellow posteriorly (creating relatively short and narrow white malar); tail shorter than wing.			https://birdsoftheworld.org/bow/species/yebcha/cur/systematics
YHBL	Yellow-headed Blackbird	Xanthocephalus xanthocephalus	Monotypic	None														
BOBO	Bobolink	Dolichonyx oryzivorus	Monotypic	None														
EAME	Eastern Meadowlark	Sturnella magna	S. m. magna	Eastern Meadowlark (Eastern)	S. m. [m. G.]	16 (3)	1	0	100+	2p	Ssp.	Ssp.	Audio		Quite difficult due to species oversplitting. Take good pictures.			https://birdsoftheworld.org/bow/species/easmea/cur/systematics
OROR	Orchard Oriole	Icterus spurius	I. s. s.	Orchard Oriole (Orchard)	I. s. s.	3 (2)	1	0	1	0	Species	Ssp.	Media		Adult male deep chestnut; young have the head, back, rump, and tail olive to yellow green			https://birdsoftheworld.org/bow/species/orcori/cur/systematics
BAOR	Baltimore Oriole	Icterus galbula	Monotypic	None														https://birdsoftheworld.org/bow/species/balori/cur/systematics
RWBL	Red-winged Blackbird	Agelaius phoeniceus	A.p.p.	Red-winged Blackbird (Red-winged)	A.p. [p. Group]	20	1	20+	1000+	7p,19a	Media	Audio			Median wing coverts yellow is enough to show it's not Bicolored or Mexican	A.p.mailliardorum has buff wing coverts, and I don't know why it is included under the bicolored designation.		https://birdsoftheworld.org/bow/species/rewbla/cur/systematics
BHCO	Brown-headed Cowbird	Molothrus ater	Molothrus ater ater	None		4	1											
RUBL	Rusty Blackbird	Euphagus carolinus	E. c. carolinus/nigrans	None		2	2								Nigrans: Like E. c. carolinus, but breeding male blacker, with a bluish gloss; breeding female darker and clearer gray (Peters and Burleigh 1951); and rusty feather edgings of autumn birds darker.			https://birdsoftheworld.org/bow/species/rusbla/cur/systematics
COGR	Common Grackle	Quiscalus quiscula	Q.q. versicolor	Common Grackle (Bronzed)	Q.q.v.	3 (2)	1	12	100+	100+	Audio		Audio		This race is less variable in coloration than the next and typically shows a uniformly brassy bronze back and belly and purplish tail. The head color is somewhat variable but usually blue-green.			https://birdsoftheworld.org/bow/species/comgra/cur/systematics
																		
	Wood-Warblers																	
OVEN	Ovenbird	Seiurus aurocapilla	S.a.a.	None		3	2									Migrating furvior should be in Vermont.  Like S. a. aurocapilla but darker dorsally, including having the black lateral crown stripes wider.		https://birdsoftheworld.org/bow/species/ovenbi1/cur/systematics
LOWA	Louisiana Waterthrush	Parkesia motacilla	Monotypic	None														
NOWA	Northern Waterthrush	Parkesia noveboracensis	Monotypic	None														
GWWA	Golden-winged Warbler	Vermivora chrysoptera	Monotypic	None														
BWWA	Blue-winged Warbler	Vermivora cyanoptera	Monotypic	None														
